"english_title";"german_title";"year";"rated";"released";"genre";"director";"writer";"type";"imdb_rating";"tag";"website"
"Star Wars: Episode VI – Return of the Jedi";"Star Wars: Episode VI – Die Rückkehr der Jedi-Ritter";"1983";"PG";"25 May 1983";"Action, Adventure, Fantasy";"Richard Marquand";"Lawrence Kasdan, George Lucas";"movie";"8.3";"Star Wars, Krieg der Sterne";"N/A"
"Star Wars: The Force Awakens";"Star Wars: Das Erwachen der Macht";"2016";"N/A";"25 Apr 2016";"Comedy";"N/A";"Conor Lastowka, Michael J. Nelson, Sean Thomason";"movie";"2.8";"Star Wars, Krieg der Sterne";"N/A"
"Star Wars: The Last Jedi";"Star Wars: Die letzten Jedi";"2008";"N/A";"16 Sep 2008";"Short, Action, Fantasy";"N/A";"N/A";"movie";"7.1";"Star Wars, Krieg der Sterne";"N/A"
"Star Wars: The Rise of Skywalker";"Star Wars: Der Aufstieg Skywalkers";"2020";"TV-14";"03 Apr 2020";"Comedy, Sci-Fi";"N/A";"Bill Corbett, Conor Lastowka, Jason Miller";"movie";"N/A";"Star Wars, Krieg der Sterne";"N/A"
"The Hitchhiker’s Guide to the Galaxy";"Per Anhalter durch die Galaxis";"2005";"PG";"29 Apr 2005";"Adventure, Comedy, Sci-Fi";"Garth Jennings";"Douglas Adams, Karey Kirkpatrick";"movie";"6.7";"Per Anhalter durch die Galaxis, The Hitchhiker’s Guide to the Galaxy";"N/A"
"Harry Potter and the Sorcerer's Stone";"Harry Potter und der Stein der Weisen";"2001";"PG";"16 Nov 2001";"Adventure, Family, Fantasy";"Chris Columbus";"J.K. Rowling, Steve Kloves";"movie";"7.7";"Harry Potter";"N/A"
"Harry Potter and the Chamber of Secrets";"Harry Potter und die Kammer des Schreckens";"2002";"PG";"15 Nov 2002";"Adventure, Family, Fantasy";"Chris Columbus";"J.K. Rowling, Steve Kloves";"movie";"7.4";"Harry Potter";"N/A"
"Harry Potter and the Prisoner of Azkaban";"Harry Potter und der Gefangene von Askaban";"2004";"PG";"04 Jun 2004";"Adventure, Family, Fantasy";"Alfonso Cuarón";"J.K. Rowling, Steve Kloves";"movie";"7.9";"Harry Potter";"N/A"
"Harry Potter and the Goblet of Fire";"Harry Potter und der Feuerkelch";"2005";"PG-13";"18 Nov 2005";"Adventure, Family, Fantasy";"Mike Newell";"Steve Kloves, J.K. Rowling";"movie";"7.7";"Harry Potter";"N/A"
"Harry Potter and the Order of the Phoenix";"Harry Potter und der Orden des Phönix";"2007";"PG-13";"11 Jul 2007";"Action, Adventure, Family";"David Yates";"Michael Goldenberg, J.K. Rowling";"movie";"7.5";"Harry Potter";"N/A"
"Harry Potter and the Half-Blood Prince";"Harry Potter und der Halbblutprinz";"2009";"PG";"15 Jul 2009";"Action, Adventure, Family";"David Yates";"Steve Kloves, J.K. Rowling";"movie";"7.6";"Harry Potter";"N/A"
"Harry Potter and the Deathly Hallows: Part 1";"Harry Potter und die Heiligtümer des Todes: Teil 1";"2010";"PG-13";"19 Nov 2010";"Adventure, Family, Fantasy";"David Yates";"Steve Kloves, J.K. Rowling";"movie";"7.7";"Harry Potter";"N/A"
"Harry Potter and the Deathly Hallows: Part 2";"Harry Potter und die Heiligtümer des Todes: Teil 2";"2011";"PG-13";"15 Jul 2011";"Adventure, Family, Fantasy";"David Yates";"Steve Kloves, J.K. Rowling";"movie";"8.1";"Harry Potter";"N/A"
