"english_title";"german_title";"year";"rated";"released";"genre";"director";"writer";"type";"imdb_rating";"tag";"website"
"How to Train Your Dragon";"Drachenzähmen leicht gemacht";"2010";"PG";"26 Mar 2010";"Animation, Action, Adventure";"Dean DeBlois, Chris Sanders";"William Davies, Dean DeBlois, Chris Sanders";"movie";"8.1";"Drachenzähmen leicht gemacht, How to Train Your Dragon";"N/A"
"How to Train Your Dragon 2";"Drachenzähmen leicht gemacht 2";"2014";"PG";"13 Jun 2014";"Animation, Action, Adventure";"Dean DeBlois";"Dean DeBlois, Cressida Cowell";"movie";"7.8";"Drachenzähmen leicht gemacht, How to Train Your Dragon";"N/A"
"How to Train Your Dragon: The Hidden World";"Drachenzähmen leicht gemacht 3: Die geheime Welt";"2019";"PG";"22 Feb 2019";"Animation, Action, Adventure";"Dean DeBlois";"Dean DeBlois, Cressida Cowell";"movie";"7.4";"Drachenzähmen leicht gemacht, How to Train Your Dragon";"N/A"
"DreamWorks Dragons";"Dragons – Die Reiter von Berk | DreamWorks Dragons";"2012–2014";"TV-Y7";"07 Aug 2012";"Animation, Action, Adventure";"N/A";"N/A";"series";"7.9";"Drachenzähmen leicht gemacht, How to Train Your Dragon";""
"Dragons: Race to the Edge";"Dragons – Auf zu neuen Ufern";"2015–2018";"TV-Y7-FV";"26 Jun 2015";"Animation, Action, Adventure";"N/A";"N/A";"series";"8.2";"Drachenzähmen leicht gemacht, How to Train Your Dragon";""
"How to Train Your Dragon: Homecoming";"Drachenzähmen leicht gemacht: Heimkehr";"2019";"TV-PG";"03 Dec 2019";"Animation, Action, Adventure";"Tim Johnson";"Jonathan Groff, Jon Pollack, Cressida Cowell";"movie";"7.3";"Drachenzähmen leicht gemacht, How to Train Your Dragon";"N/A"
"The Maze Runner";"Maze Runner – Die Auserwählten im Labyrinth";"2014";"PG-13";"19 Sep 2014";"Action, Mystery, Sci-Fi";"Wes Ball";"Noah Oppenheim, Grant Pierce Myers, T.S. Nowlin";"movie";"6.8";"The Maze Runner, Maze Runner";"N/A"
"Maze Runner: The Scorch Trials";"Maze Runner – Die Auserwählten in der Brandwüste";"2015";"PG-13";"18 Sep 2015";"Action, Adventure, Sci-Fi";"Wes Ball";"T.S. Nowlin, James Dashner";"movie";"6.3";"The Maze Runner, Maze Runner";"N/A"
"Maze Runner: The Death Cure";"Maze Runner – Die Auserwählten in der Todeszone";"2018";"PG-13";"26 Jan 2018";"Action, Adventure, Sci-Fi";"Wes Ball";"T.S. Nowlin, James Dashner";"movie";"6.3";"The Maze Runner, Maze Runner";"N/A"
"Scream";"Scream – Schrei!";"1996";"R";"20 Dec 1996";"Horror, Mystery";"Wes Craven";"Kevin Williamson";"movie";"7.4";"Scream";"N/A"
"Scream 2";"Scream 2";"1997";"R";"12 Dec 1997";"Horror, Mystery";"Wes Craven";"Kevin Williamson";"movie";"6.3";"Scream";"N/A"
"Scream 3";"Scream 3";"2000";"R";"04 Feb 2000";"Horror, Mystery";"Wes Craven";"Kevin Williamson, Ehren Kruger";"movie";"5.7";"Scream";"N/A"
"Scream 4";"Scream 4";"2011";"R";"15 Apr 2011";"Horror, Mystery";"Wes Craven";"Kevin Williamson";"movie";"6.2";"Scream";"N/A"
"Scream (2022)";"Scream (2022)";"2022";"N/A";"19 Jan 2022";"N/A";"N/A";"N/A";"movie";"N/A";"Scream";"N/A"
"Scream VI";"Scream VI";"2023";"R";"10 Mar 2023";"Horror, Mystery, Thriller";"Matt Bettinelli-Olpin, Tyler Gillett";"James Vanderbilt, Guy Busick, Kevin Williamson";"movie";"6.4";"Scream";"N/A"
"Kingsman: The Secret Service";"Kingsman: The Secret Service";"2014";"R";"13 Feb 2015";"Action, Adventure, Comedy";"Matthew Vaughn";"Jane Goldman, Matthew Vaughn, Mark Millar";"movie";"7.7";"Kingsman";"N/A"
"Kingsman: The Golden Circle";"Kingsman: The Golden Circle";"2017";"R";"22 Sep 2017";"Action, Adventure, Comedy";"Matthew Vaughn";"Jane Goldman, Matthew Vaughn, Mark Millar";"movie";"6.7";"Kingsman";"N/A"
"The King’s Man";"The King’s Man: The Beginning";"2021";"R";"22 Dec 2021";"Action, Adventure, Thriller";"Matthew Vaughn";"Matthew Vaughn, Karl Gajdusek, Mark Millar";"movie";"6.3";"Kingsman";"N/A"
"Paddington";"Paddington";"2014";"PG";"16 Jan 2015";"Adventure, Comedy, Family";"Paul King";"Paul King, Hamish McColl, Michael Bond";"movie";"7.3";"Paddington";"N/A"
"Paddington 2";"Paddington 2";"2017";"PG";"12 Jan 2018";"Adventure, Comedy, Family";"Paul King";"Paul King, Simon Farnaby, Michael Bond";"movie";"7.8";"Paddington";"N/A"
"Rise of the Planet of the Apes";"Planet der Affen: Prevolution";"2011";"PG-13";"05 Aug 2011";"Action, Drama, Sci-Fi";"Rupert Wyatt";"Rick Jaffa, Amanda Silver, Pierre Boulle";"movie";"7.6";"Planet der Affen, Planet of the Apes";"N/A"
"Dawn of the Planet of the Apes";"Planet der Affen: Revolution";"2014";"PG-13";"11 Jul 2014";"Action, Adventure, Drama";"Matt Reeves";"Mark Bomback, Rick Jaffa, Amanda Silver";"movie";"7.6";"Planet der Affen, Planet of the Apes";"N/A"
"War for the Planet of the Apes";"Planet der Affen: Survival";"2017";"PG-13";"14 Jul 2017";"Action, Adventure, Drama";"Matt Reeves";"Mark Bomback, Matt Reeves, Rick Jaffa";"movie";"7.4";"Planet der Affen, Planet of the Apes";"N/A"
"Kingdom of the Planet of the Apes";"Planet der Affen: New Kingdom";"2024";"PG-13";"10 May 2024";"Action, Adventure, Drama";"Wes Ball";"Josh Friedman, Rick Jaffa, Amanda Silver";"movie";"6.9";"Planet der Affen, Planet of the Apes";"N/A"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe";"Die Chroniken von Narnia: Der König von Narnia";"2005";"PG";"09 Dec 2005";"Adventure, Family, Fantasy";"Andrew Adamson";"Ann Peacock, Andrew Adamson, Christopher Markus";"movie";"6.9";"Chronicles of Narnia, TheChronicles of Narnia, Chroniken von Narnia, Die Chroniken von Narnia";"N/A"
"The Chronicles of Narnia: Prince Caspian";"Die Chroniken von Narnia: Prinz Kaspian von Narnia";"2008";"PG";"16 May 2008";"Action, Adventure, Family";"Andrew Adamson";"Andrew Adamson, Christopher Markus, Stephen McFeely";"movie";"6.5";"Chronicles of Narnia, TheChronicles of Narnia, Chroniken von Narnia, Die Chroniken von Narnia";"N/A"
"The Chronicles of Narnia: The Voyage of the Dawn Treader";"Die Chroniken von Narnia: Die Reise auf der Morgenröte";"2010";"PG";"10 Dec 2010";"Adventure, Family, Fantasy";"Michael Apted";"Christopher Markus, Stephen McFeely, Michael Petroni";"movie";"6.3";"Chronicles of Narnia, TheChronicles of Narnia, Chroniken von Narnia, Die Chroniken von Narnia";"N/A"
