english_title;german_title;rated;released;genre;director;writer;type;imdb_rating;tag
Transformers: Rise of the Beasts;Transformers: Aufstieg der Bestien;PG-13;09-Jun-23;Action, Adventure, Sci-Fi;Steven Caple Jr.;Joby Harold, Darnell Metayer, Josh Peters;movie;6.0;Transformers
Assassin's Creed;Assassin’s Creed;PG-13;21-Dec-16;Action, Adventure, Sci-Fi;Justin Kurzel;Michael Lesslie, Adam Cooper, Bill Collage;movie;5.6;Assassin’s Creed
The Fast and the Furious;The Fast and the Furious;PG-13;22-Jun-01;Action, Crime, Thriller;Rob Cohen;Ken Li, Gary Scott Thompson, Erik Bergquist;movie;6.8;Fast & Furious / The Fast and the Furious
2 Fast 2 Furious;2 Fast 2 Furious;PG-13;06-Jun-03;Action, Crime, Thriller;John Singleton;Gary Scott Thompson, Michael Brandt, Derek Haas;movie;5.9;Fast & Furious / The Fast and the Furious
The Fast and the Furious: Tokyo Drift;The Fast and the Furious: Tokyo Drift;PG-13;16-Jun-06;Action, Crime, Thriller;Justin Lin;Chris Morgan;movie;6.1;Fast & Furious / The Fast and the Furious
Fast & Furious;Fast & Furious – Neues Modell. Originalteile.;PG-13;03-Apr-09;Action, Thriller;Justin Lin;Chris Morgan, Gary Scott Thompson;movie;6.5;Fast & Furious / The Fast and the Furious
Fast Five;Fast & Furious Five;PG-13;29-Apr-11;Action, Crime, Thriller;Justin Lin;Chris Morgan, Gary Scott Thompson;movie;7.3;Fast & Furious / The Fast and the Furious
Fast & Furious 6;Fast & Furious 6;PG-13;24-May-13;Action, Thriller;Justin Lin;Chris Morgan, Gary Scott Thompson;movie;7.0;Fast & Furious / The Fast and the Furious
Furious 7;Fast & Furious 7;PG-13;03-Apr-15;Action, Thriller;James Wan;Chris Morgan, Gary Scott Thompson;movie;7.1;Fast & Furious / The Fast and the Furious
The Fate of the Furious;Fast & Furious 8;PG-13;14-Apr-17;Action, Crime, Thriller;F. Gary Gray;Gary Scott Thompson, Chris Morgan;movie;6.6;Fast & Furious / The Fast and the Furious
F9: The Fast Saga;Fast & Furious 9;PG-13;25-Jun-21;Action, Crime, Thriller;Justin Lin;Daniel Casey, Justin Lin, Alfredo Botello;movie;5.2;Fast & Furious / The Fast and the Furious
Fast X;Fast & Furious 10;PG-13;19-May-23;Action, Adventure, Crime;Louis Leterrier;Dan Mazeau, Justin Lin, Zach Dean;movie;5.7;Fast & Furious / The Fast and the Furious
Fast & Furious Presents: Hobbs & Shaw;Fast & Furious: Hobbs & Shaw;PG-13;02-Aug-19;Action, Adventure, Thriller;David Leitch;Chris Morgan, Drew Pearce, Gary Scott Thompson;movie;6.5;Fast & Furious / The Fast and the Furious
John Wick;John Wick;R;24-Oct-14;Action, Crime, Thriller;Chad Stahelski;Derek Kolstad;movie;7.4;John Wick
John Wick: Chapter 2;John Wick: Kapitel 2;R;10-Feb-17;Action, Crime, Thriller;Chad Stahelski;Derek Kolstad;movie;7.4;John Wick
John Wick: Chapter 3 – Parabellum;John Wick: Kapitel 3;R;17-May-19;Action, Crime, Thriller;Chad Stahelski;Derek Kolstad, Shay Hatten, Chris Collins;movie;7.4;John Wick
John Wick: Chapter 4;John Wick: Kapitel 4;R;24-Mar-23;Action, Crime, Thriller;Chad Stahelski;Shay Hatten, Michael Finch, Derek Kolstad;movie;7.6;John Wick
Ballerina;Ballerina;TV-MA;06-Oct-23;Action, Thriller;Chung-Hyun Lee;Chung-Hyun Lee;movie;6.3;John Wick
The Witcher: Nightmare of the Wolf;The Witcher: Nightmare of the Wolf;TV-MA;23-Aug-21;Animation, Action, Adventure;Kwang Il Han;Beau DeMayo, Andrzej Sapkowski;movie;7.2;The Witcher
The Witcher;The Witcher;TV-MA;20-Dec-19;Action, Adventure, Drama;Tomek Baginski;Lauren Schmidt Hissrich;series;7.9;The Witcher
The Witcher: Blood Origin;The Witcher: Blood Origin;TV-MA;25-Dec-22;Action, Adventure, Drama;N/A;Declan De Barra;series;4.9;The Witcher
Resident Evil (2002);Resident Evil;N/A;28-Jun-21;N/A;N/A;N/A;movie;N/A;Resident Evil
Resident Evil: Apocalypse;Resident Evil: Apocalypse;R;10-Sept-04;Action, Horror, Sci-Fi;Alexander Witt;Paul W.S. Anderson;movie;6.1;Resident Evil
Resident Evil: Extinction;Resident Evil: Extinction;R;21-Sept-07;Action, Horror, Sci-Fi;Russell Mulcahy;Paul W.S. Anderson;movie;6.2;Resident Evil
Resident Evil: Afterlife;Resident Evil: Afterlife;R;10-Sept-10;Action, Horror, Sci-Fi;Paul W.S. Anderson;Paul W.S. Anderson;movie;5.8;Resident Evil
Resident Evil: Retribution;Resident Evil: Retribution;R;14-Sept-12;Action, Horror, Sci-Fi;Paul W.S. Anderson;Paul W.S. Anderson;movie;5.3;Resident Evil
Resident Evil: The Final Chapter;Resident Evil: The Final Chapter;R;27-Jan-17;Action, Horror, Sci-Fi;Paul W.S. Anderson;Paul W.S. Anderson;movie;5.5;Resident Evil
Resident Evil: Welcome to Raccoon City;Resident Evil: Welcome to Raccoon City;R;24-Nov-21;Action, Horror, Sci-Fi;Johannes Roberts;Johannes Roberts;movie;5.2;Resident Evil
Resident Evil: Infinite Darkness;Resident Evil: Infinite Darkness;TV-MA;08-Jul-21;Animation, Action, Horror;N/A;Hiroyuki Kobayashi;series;5.8;Resident Evil
Resident Evil;Resident Evil;R;15-Mar-02;Action, Horror, Sci-Fi;Paul W.S. Anderson;Paul W.S. Anderson;movie;6.6;Resident Evil
The Last of Us;The Last of Us;TV-MA;15-Jan-23;Action, Adventure, Drama;N/A;Craig Mazin, Neil Druckmann;series;8.7;The Last of Us
Dune (1984);Der Wüstenplanet;N/A;05-Oct-20;Talk-Show;N/A;N/A;movie;N/A;Dune
Frank Herbert's Dune;Dune – Der Wüstenplanet;N/A;30-Oct-00;Documentary;N/A;N/A;movie;7.5;Dune
Dune (2021);Dune;N/A;03-Nov-21;N/A;N/A;N/A;movie;N/A;Dune
Dune: Part Two;Dune: Teil Zwei;PG-13;01-Mar-24;Action, Adventure, Drama;Denis Villeneuve;Denis Villeneuve, Jon Spaihts, Frank Herbert;movie;8.5;Dune
The Hunger Games;Die Tribute von Panem – The Hunger Games;PG-13;23-Mar-12;Action, Adventure, Sci-Fi;Gary Ross;Gary Ross, Suzanne Collins, Billy Ray;movie;7.2;The Hunger Games
Catching Fire;Die Tribute von Panem – Catching Fire;N/A;N/A;Short, Drama;Josef Steiff;Josef Steiff;movie;7.1;The Hunger Games
Mockingjay Part 1;Die Tribute von Panem – Mockingjay Teil 1;N/A;01-Feb-15;Documentary;Jon Mefford;N/A;movie;7.1;The Hunger Games
Mockingjay Part 2;Die Tribute von Panem – Mockingjay Teil 2;N/A;22-Mar-16;Documentary;Jon Mefford;N/A;movie;7.8;The Hunger Games
The Ballad of Songbirds and Snakes;Die Tribute von Panem – The Ballad of Songbirds and Snakes;N/A;08-Oct-21;Short, Romance;Amber Sweet Sterner;Suzanne Collins, Jackson Trent;movie;N/A;The Hunger Games
Scream;Scream – Schrei!;R;20-Dec-96;Horror, Mystery;Wes Craven;Kevin Williamson;movie;7.4;Scream
Scream 2;Scream 2;R;12-Dec-97;Horror, Mystery;Wes Craven;Kevin Williamson;movie;6.3;Scream
Scream 3;Scream 3;R;04-Feb-00;Horror, Mystery;Wes Craven;Kevin Williamson, Ehren Kruger;movie;5.7;Scream
Scream 4;Scream 4;R;15-Apr-11;Horror, Mystery;Wes Craven;Kevin Williamson;movie;6.2;Scream
Scream;Scream;R;20-Dec-96;Horror, Mystery;Wes Craven;Kevin Williamson;movie;7.4;Scream
Scream VI;Scream VI;R;10-Mar-23;Horror, Mystery, Thriller;Matt Bettinelli-Olpin, Tyler Gillett;James Vanderbilt, Guy Busick, Kevin Williamson;movie;6.4;Scream
Avatar: The Last Airbender;Avatar – Der Herr der Elemente;TV-Y7-FV;21-Feb-05;Animation, Action, Adventure;N/A;Michael Dante DiMartino, Bryan Konietzko;series;9.3;Avatar – Der Herr der Elemente / Avatar: The Last Airbender
The Legend of Korra;Die Legende von Korra;TV-PG;14-Apr-12;Animation, Action, Adventure;N/A;Michael Dante DiMartino, Bryan Konietzko;series;8.3;Avatar – Der Herr der Elemente / Avatar: The Last Airbender
The Last Airbender;Die Legende von Aang;PG;01-Jul-10;Action, Adventure, Family;M. Night Shyamalan;M. Night Shyamalan;movie;4.0;Avatar – Der Herr der Elemente / Avatar: The Last Airbender
Avatar: The Last Airbender;Avatar – Der Herr der Elemente;TV-Y7-FV;21-Feb-05;Animation, Action, Adventure;N/A;Michael Dante DiMartino, Bryan Konietzko;series;9.3;Avatar – Der Herr der Elemente / Avatar: The Last Airbender
Saw;Saw;R;29-Oct-04;Horror, Mystery, Thriller;James Wan;Leigh Whannell, James Wan;movie;7.6;Saw / Jigsaw
Saw II;Saw II;R;28-Oct-05;Horror, Mystery;Darren Lynn Bousman;Leigh Whannell, Darren Lynn Bousman;movie;6.6;Saw / Jigsaw
Saw III;Saw III;R;27-Oct-06;Horror, Mystery, Thriller;Darren Lynn Bousman;Leigh Whannell, James Wan;movie;6.2;Saw / Jigsaw
Saw IV;Saw IV;R;26-Oct-07;Horror, Mystery, Thriller;Darren Lynn Bousman;Patrick Melton, Marcus Dunstan, Thomas Fenton;movie;5.9;Saw / Jigsaw
Saw V;Saw V;R;24-Oct-08;Horror, Thriller;David Hackl;Patrick Melton, Marcus Dunstan;movie;5.8;Saw / Jigsaw
Saw VI;Saw VI;R;23-Oct-09;Horror, Mystery, Thriller;Kevin Greutert;Patrick Melton, Marcus Dunstan;movie;6.0;Saw / Jigsaw
Saw 3D;Saw 3D – Vollendung;R;29-Oct-10;Crime, Horror, Mystery;Kevin Greutert;Patrick Melton, Marcus Dunstan;movie;5.5;Saw / Jigsaw
Jigsaw;Jigsaw;R;27-Oct-17;Horror, Mystery, Thriller;Michael Spierig, Peter Spierig;Josh Stolberg, Pete Goldfinger;movie;5.7;Saw / Jigsaw
Spiral;Saw: Spiral;R;14-May-21;Horror, Mystery, Thriller;Darren Lynn Bousman;Josh Stolberg, Pete Goldfinger;movie;5.2;Saw / Jigsaw
Saw X;Saw X;R;29-Sept-23;Horror, Mystery, Thriller;Kevin Greutert;Pete Goldfinger, Josh Stolberg;movie;6.6;Saw / Jigsaw
Stranger Things Season 1;Stranger Things Staffel 1;N/A;15-Jul-16;Short, Comedy;N/A;N/A;series;N/A;Stranger Things
Stranger Things Season 2;Stranger Things Staffel 2;N/A;27-Oct-17;Short, Comedy;N/A;N/A;series;N/A;Stranger Things
Stranger Things Season 3;Stranger Things Staffel 3;N/A;13-Jul-19;Short, Comedy;N/A;N/A;series;N/A;Stranger Things
