english_title;german_title;rated;released;genre;director;writer;type;imdb_rating;tag
Star Wars: Episode V – The Empire Strikes Back;Star Wars: Episode V – Das Imperium schlägt zurück;PG;1980;Action, Adventure, Fantasy;Irvin Kershner;Leigh Brackett, Lawrence Kasdan, George Lucas;movie;8.7;Star Wars, Krieg der Sterne
Star Wars: Episode VI – Return of the Jedi;Star Wars: Episode VI – Die Rückkehr der Jedi-Ritter;PG;1983;Action, Adventure, Fantasy;Richard Marquand;Lawrence Kasdan, George Lucas;movie;8.3;Star Wars, Krieg der Sterne
Star Wars: The Force Awakens;Star Wars: Das Erwachen der Macht;;2016;Comedy;;Conor Lastowka, Michael J. Nelson, Sean Thomason;movie;2.8;Star Wars, Krieg der Sterne
Star Wars: The Last Jedi;Star Wars: Die letzten Jedi;;2008;Short, Action, Fantasy;;;movie;7.1;Star Wars, Krieg der Sterne
Star Wars: The Rise of Skywalker;Star Wars: Der Aufstieg Skywalkers;TV-14;2020;Comedy, Sci-Fi;;Bill Corbett, Conor Lastowka, Jason Miller;movie;;Star Wars, Krieg der Sterne
The Hitchhiker’s Guide to the Galaxy;Per Anhalter durch die Galaxis;PG;2005;Adventure, Comedy, Sci-Fi;Garth Jennings;Douglas Adams, Karey Kirkpatrick;movie;6.7;Per Anhalter durch die Galaxis, The Hitchhiker’s Guide to the Galaxy
Harry Potter and the Sorcerer's Stone;Harry Potter und der Stein der Weisen;PG;2001;Adventure, Family, Fantasy;Chris Columbus;J.K. Rowling, Steve Kloves;movie;7.7;Harry Potter
Harry Potter and the Chamber of Secrets;Harry Potter und die Kammer des Schreckens;PG;2002;Adventure, Family, Fantasy;Chris Columbus;J.K. Rowling, Steve Kloves;movie;7.4;Harry Potter
Harry Potter and the Prisoner of Azkaban;Harry Potter und der Gefangene von Askaban;PG;2004;Adventure, Family, Fantasy;Alfonso Cuarón;J.K. Rowling, Steve Kloves;movie;7.9;Harry Potter
Harry Potter and the Goblet of Fire;Harry Potter und der Feuerkelch;PG-13;2005;Adventure, Family, Fantasy;Mike Newell;Steve Kloves, J.K. Rowling;movie;7.7;Harry Potter
